age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
33,SERVICES,MARRIED,SECONDARY,NO,4789,YES,YES,CELLULAR,11,MAY,220,1,339,4,FAILURE,NO
35,MANAGEMENT,SINGLE,TERTIARY,NO,1350,YES,NO,CELLULAR,16,APR,185,1,330,1,FAILURE,NO
35,MANAGEMENT,SINGLE,TERTIARY,NO,747,NO,NO,CELLULAR,23,FEB,141,2,176,3,FAILURE,NO
36,SELF-EMPLOYED,MARRIED,TERTIARY,NO,307,YES,NO,CELLULAR,14,MAY,341,1,330,2,OTHER,NO
31,BLUE-COLLAR,MARRIED,SECONDARY,NO,360,YES,YES,CELLULAR,29,JAN,89,1,241,1,FAILURE,NO
37,ADMIN.,SINGLE,TERTIARY,NO,2317,YES,NO,CELLULAR,20,APR,114,1,152,2,FAILURE,NO
31,SERVICES,MARRIED,SECONDARY,NO,132,NO,NO,CELLULAR,7,JUL,148,1,152,1,OTHER,NO
33,MANAGEMENT,MARRIED,SECONDARY,NO,3935,YES,NO,CELLULAR,6,MAY,765,1,342,2,FAILURE,YES
55,BLUE-COLLAR,MARRIED,PRIMARY,NO,145,NO,NO,TELEPHONE,2,FEB,59,3,5,2,OTHER,NO
34,TECHNICIAN,MARRIED,TERTIARY,NO,1539,YES,NO,CELLULAR,15,JUN,441,1,56,1,OTHER,YES
51,BLUE-COLLAR,DIVORCED,SECONDARY,NO,203,YES,NO,CELLULAR,8,MAY,134,1,170,5,FAILURE,NO
37,MANAGEMENT,MARRIED,TERTIARY,NO,0,NO,NO,CELLULAR,16,JUL,268,2,182,3,SUCCESS,YES
41,BLUE-COLLAR,DIVORCED,SECONDARY,NO,174,YES,NO,CELLULAR,14,MAY,367,2,297,1,OTHER,NO
40,UNEMPLOYED,MARRIED,SECONDARY,NO,219,YES,NO,CELLULAR,17,NOV,204,2,196,1,FAILURE,NO
52,SERVICES,MARRIED,SECONDARY,NO,657,NO,NO,TELEPHONE,7,JUL,398,2,460,2,FAILURE,YES
30,ADMIN.,SINGLE,TERTIARY,NO,261,NO,NO,CELLULAR,19,OCT,233,1,137,20,FAILURE,NO
36,BLUE-COLLAR,DIVORCED,SECONDARY,NO,2843,NO,NO,CELLULAR,12,FEB,473,1,182,1,SUCCESS,NO
38,MANAGEMENT,SINGLE,TERTIARY,NO,493,YES,NO,CELLULAR,11,MAY,553,1,367,7,FAILURE,NO
32,MANAGEMENT,SINGLE,TERTIARY,NO,574,YES,NO,CELLULAR,14,APR,259,2,145,3,FAILURE,NO
21,STUDENT,SINGLE,SECONDARY,NO,2488,NO,NO,CELLULAR,30,JUN,258,6,169,3,SUCCESS,YES
33,BLUE-COLLAR,SINGLE,SECONDARY,NO,22,NO,NO,CELLULAR,30,JAN,76,2,207,1,FAILURE,NO
32,BLUE-COLLAR,SINGLE,SECONDARY,NO,228,NO,NO,TELEPHONE,5,FEB,176,1,288,3,FAILURE,NO
